new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
Used,2021 Ford F-150 Lariat," 10,907 mi.","$89,999",4207d0d6-ed28-4f42-b032-55a20db3b783,"0–0

",Four-wheel Drive ,E85 Flex Fuel ,None reported,Yes,Yes,Yes,
,,,,3897fdd4-4bf1-49e1-be79-ac9bda5a03e4,,,,,,,,
Used,2022 Ford Escape SEL," 10,401 mi.","$28,995",446eafc4-a03f-4f8c-9b46-639991be6519,22–31,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2022 Ford Bronco Sport Base," 23,433 mi.","$27,065",cc8b4dd9-cf3e-400c-8163-2cedf79e7cc3,25–28,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,At least 1 open recall reported
Used,2022 Ford Bronco Sport Base," 5,900 mi.","$28,993",6586f887-4bef-4279-bbb6-eb2064fea541,25–28,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,Yes,
Used,2020 Buick Encore GX Select," 15,365 mi.","$21,888",b94c7cd0-e732-40af-92be-c347f286d08c,26–29,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2019 Volkswagen Tiguan 2.0T SEL," 121,834 mi.","$20,296",3648ce1a-7cb3-4a6a-b3f2-bc3d8f9c3df6,21–29,All-wheel Drive ,Gasoline ,None reported,Yes,No,No,
Used,2020 Ford F-150 XLT," 39,789 mi.","$34,995",61a4bedc-c1df-4e23-ad18-50705c077620,16–22,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,At least 1 open recall reported
Used,2011 Subaru Outback 2.5 i Premium," 140,949 mi.","$9,400",49842c42-2074-41c4-8435-38a4d0f87778,,,,None reported,Yes,No,Yes,
Audi Certified,2019 Audi A6 3.0T Premium," 20,648 mi.","$39,995",0356f416-f452-45ef-8ff4-5c83c597f001,–,All-wheel Drive ,mild ,"5 model years or newer/less than 60,000 miles","1 year or 20,000 miles (whichever occurs first)",N/A,"

          125-point inspection

",Yes
